0,1
Il Canto Cafe,My boyfriend and I went here while visiting San Fran and really enjoyed the food and coffee we got. The flavors really jumped out and tasted very unique. I loved their Chipotle sauce on my bacon breakfast burrito. My bf had the pesto sauce and chicken on his which was also amazing. I attached photos of the seating area which was only outside.
Il Canto Cafe,"Been craving a breakfast burrito and glad I found this place with food that was quick, delicious and nutritious. They have some outdoor seating nearby but it’s primarily designed around takeout. Definitely worth adding the avocado for a creamy feel."
Il Canto Cafe,"Delicious breakfast burrito, tons of flavor & great price. Added black beans & chicken protein. Super friendly service too! Would definitely come back!!"
Il Canto Cafe,"Superb as usual.  Just got a coffee this time, but highly recommend their breakfast burritos (only eat half before a meeting though), their chai latte, and their delectable desserts.  Coffee is good too!  This is what I normally get (coffee, vegetarian burrito, and a dessert)."
Il Canto Cafe,Best breakfast burrito in town - add the potatoes + avocado. It comes grilled with cheese is the hashbrowns it’s just insane. It doesn’t make any sense coming out of an Italian restaurant but just do it. The service is also amazing!!
Il Canto Cafe,"Great taste, great price (for San Francisco), food always ready on time.  A regular breakfast place when visiting San Francisco and staying near by. Easy decision to walk past a couple Starbucks to come here, you won’t be disappointed!"
Il Canto Cafe,I'm a visitor in town. Have been here for Breakfast Burritos twice in a row. The service is friendly and the food is exceptional. The staff seem to know everyone who visits by name too. I cannot speak highly enough about this place.
Il Canto Cafe,"I've been in San Francisco a couple of days, and I grabbed lunch here twice. I ordered paninis, which were wonderful and filling. Great service. I absolutely recommed this place for take-away (I did not see any indoor seating)."
Il Canto Cafe,Great burrito and bagels. We had our breakfast here every day. They open pretty early which played in our cards. The staff is very friendly and even remembered our names after our first visit! Thank you very much from Europe!
Il Canto Cafe,"Surprisingly good breakfast burrito with delicious sauce. Adding potato is a must. Decent latte and cookie, too.  No indoor seating but there’s some outdoor seating next to the cafe."
Il Canto Cafe,"Service is 10 out of 5 stars!!! Server ran 2 blocks to give us part of our order that we forgot. Now that is service! Food is good, price is reasonable. Their breakfast burrito is one of the best I had. The kids scored their bagel BLT 4/5."
Il Canto Cafe,Amazing breakfast spot! I love that it is an outdoor pick up window setup it makes it super easy for me to grab breakfast while walking the dog. I love the meat lovers burrito and my iced latte is always perfect they really get the coffee right here. The guy who works the front in the early morning is incredibly friendly and gives amazing customer service. I work nearby and I always send visitors here since it's truly 5 stars quality tough to find in financial district
Il Canto Cafe,"What great luck to be staying near this place. I can confidently vouch for the great reviews. My wife and I have been in SF 2 days so far and we have had breakfast here both days. The breakfast burritos really are the best I’ve had. My wife loved her croissant sandwich as well. The coffee was pretty good too!  In addition to the great food, there is very friendly service. If you are planning to be there after 7:30 or 8, you may want to consider ordering ahead."
Il Canto Cafe,"Do not sleep on their breakfast burritos. Voted best in Bay Area! As others said, add potatoes! Coffee is good and fresh OJ!  Probably just as important, the people who work here are so incredibly kind. While waiting for a few minutes for our food we saw the owner personally great several patrons by name and already knew their orders/had them ready for them. You can see this is where the locals go. He also gave several burritos and a coffee to a homeless man on the cold, rainy morning we visited. Someone next to me then whispered he’s one of the sweetest men.  Go for the food… but know you’re helping support someone who supports others!"
Il Canto Cafe,"This is the best breakfast burrito (shrimp) I’ve ever had, period. And the guy who took my order was cool af, go here, you will not regret it.  Takeout only so have somewhere to sit and basque in the greatness."
Il Canto Cafe,A great experience for us. Staff remembered my girlfriend and I from yesterday and welcomed us back. Food is great and coffee is fresh. Will definitely be returning once we’re back in SF!
Il Canto Cafe,Great take away breakfast point. You'll probably hang out waiting your to be prepared. Jeff work behind the desk with so much energy and good communication.
Il Canto Cafe,"This is the best breakfast/lunch spot in all of FiDi. The breakfast burrito is far superior to any other in town. Grilled to perfection. Crispy bacon (if you choose this protein, but they have many other choices as well) The mocha is also quite delicious, and I think having it with oat milk adds another layer of flavor that shouldn’t be missed. They also serve up bomb pastas for lunch and have a great salad menu as well. Try it all, come back for seconds and thirds. Let them get to know your name and you’ll see that their service goes far above and beyond making great food. Staple in the community."
Il Canto Cafe,Truly one of the best breakfast burritos I have ever had! I got bacon and added potatoes and it was incredible. They have a delicious chipotle sauce. Service was very friendly and I highly recommend!
Il Canto Cafe,"Absolutely stunning. Fast service, delicious food, very convenient location. No eating inside option when I visited, but they still get a 5 for atmosphere since they were slammed and the staff still took the time to tailor my order and were very pleasant. Try the shrimp breakfast burrito!"
Il Canto Cafe,"Literally the best breakfast you can get in SF. Visited once a year before, and had to go back. Jeff is really sweet and always tells you to have a good day!"
Il Canto Cafe,The best breakfast burrito I’ve ever ate. This place seriously lives up to its hype. The pricing is great as well.
Il Canto Cafe,"Super friendly staff, great food with reasonable prices. They have fresh homemade scones and pastries they bake every morning. Take out only, but they have outdoor tables."
Il Canto Cafe,"The breakfast burritos here are amazing! The coffee is great too, but the real stars are the chipotle breakfast burritos. We tried the meatlovers and the avocado. The quality was excellent, and I loved the pepper mix in the scrambled eggs. I’d cover all my food with their chipotle mayo if I could."
Il Canto Cafe,"OMG! Took a break from my walk across America to crash at a hotel, do some laundry, and dry my rained-out gear. Was looking for a top rated coffee shop that was open now, and Il Canto popped up. Once I took a peek at the menu, I ordered the most scrumptious breakfast burrito...and this coming from a Texas gal. Lovely team members who clearly clear about the food they create for their customers. HIGHLY recommend. 👍👍"
Il Canto Cafe,Excellent burrito/latte. Good price. Friendly service. Neat external eating area. Highly recommended.
Il Canto Cafe,"An iconic breakfast burrito you’ll have dreams about after you try it, giant home made l Reese’s peanut butter cup cookies, and delicious food at reasonable prices. What else can you ask for?"
Il Canto Cafe,"My favorite breakfast burrito ever. I come to SF once a quarter at least and I make a point to come here every time. It’s consistent, the staff is SO nice, and they pay attention to the little things. Things such as grilling the burrito and having the ingredients inside evenly distributed are some examples. But it just tastes amazing. That’s all you need to know. Go try it!"
Il Canto Cafe,This place is pretty great. The people that work there care. The food was fresh and hot. There was a line but they got through the orders pretty quickly.
Il Canto Cafe,"Best breakfast burrito I've ever had! I added bacon & avo to mine. The cafe mocha is delicious, too. They make you feel like a valued customer. I can't wait to come back."
Il Canto Cafe,"Their breakfast burrito is super addictive 😍  Always busy with a lot of delivery orders and business people from financial district. It worth waiting though, because they provide such an amazing service and a hearty breakfast. Always nice and efficient. Appreciate your hard work 🙏"
Il Canto Cafe,This place has the most delicious breakfast burritos ever their chipotle. breakfast burrito is absolutely delicious and I would definitely recommend this place
Il Canto Cafe,Good service … no dine in but there are tables outside on the left side.  Breakfast burrito and cappuccino were tasty.
Il Canto Cafe,Great Breakfast Spot. Famous for the Breakfast Buritto .. price is good and the food is great. Staff is also very friendly
Il Canto Cafe,Excellent excellent breakfast burrito and amazing service which everybody was so friendly early in the morning! I would come back here again soon!
Il Canto Cafe,Food was warm AND delicious. The burritos were wrapped and packed nicely too. Staff is super friendly. Orange juice was fresh too.
Il Canto Cafe,Delicious breakfast burrito and very affordable compared to everywhere else around here.
Il Canto Cafe,Easily one of the best breakfast burritos you will ever eat. Extremely tasty and always cooked to perfection. Friendly service and reasonable prices make this a no brainier.
Il Canto Cafe,Pretty tasty and flavorful veggie breakfast sandwich. I just wish the size was bigger. The sandwich left me wanting for more :D
Il Canto Cafe,Probably one of the best little deli spots in the city. Excellent breakfast burrito and surprisingly amazing cappuccino.
Il Canto Cafe,Great coffee shop! Went here two mornings in a row. The staff was so friendly and greeted us with a smile. They even remembered how we liked our coffee and asked if we wanted it the same way again! The veggie sandwich on a croissant is amazing! Highly recommend!
Il Canto Cafe,Love love love the breakfast burritos! Very filling and gets better with every bite
Il Canto Cafe,"Handy place to grab breakfast or lunch in an area with few restaurant options, especially on weekends. Friendly service, delicious food!"
Il Canto Cafe,"The gods truly smiled down on this place and graced us with their breakfast burritos. I will gladly die on the hill that these are the best breakfast burritos I have, or ever will have, in my life. Found them on DoorDash one fateful day and was thrilled when I learned that they are a few blocks from my work. My interactions with employees were equally as amazing. Very kind and quick for service. You can't have a bad experience here, it is impossible."
Il Canto Cafe,"Had the breakfast burrito with sausage. It was filling enough to share with a friend but SO delicious you won't want to!! Add avocado if you want, and enjoy. The burrito was expertly rolled then pressed. Easy to eat. Highly recommended"
Il Canto Cafe,"Hearty, solid takeaway breakfast and lunch - spiffy friendly service and one of the few in FiDi operating all week long - thumbs up!!"
Il Canto Cafe,"Probably the best breakfast burrito I’ve ever had. Highly recommend the grilled breakfast burrito - so crispy and so good with fresh avocado! Extremely friendly staff too. No seating. The cold brew was much too dark for my liking, but the burrito is outstanding!"
Il Canto Cafe,"I took a three block detour to grab a sandwich here. I am so glad I did.  Got the veggie sandwich on a sesame bagel. It took a few minutes to make, but it was so warm and fresh. The bagel is packed to the brim and tasty as heck!!  Highly recommend. While i didn't get the orange juice, it looked like i missed out on it! So next time"
Il Canto Cafe,Delicious breakfast burrito!
Il Canto Cafe,Breakfast burrito with avocado! Slaps.
Il Canto Cafe,"Il Canto Café is a small independent sandwich shop that I’ve passed by many times when going to Sapphire Asian cusine which is next door. I decided to finally give it a try a couple of weeks ago. Being a small place it was packed during my first visit. The menu is simple a bunch of panini’s, salads and some readymade pasta. I decided to get the Chipotle chicken panini ($8) which as per the menu is chipotle sauce, jack cheese, chicken, spinach, tomatoes on a ciabatta roll. After ordering it was a short 10 minute wait and I was on my way.  The panini had two problems. First, the contents were not thawed out properly before being toasted so all the chicken tasted like a cold hard lump. I understand that you have to refrigerate the sandwiches to avoid a Chipotle type of situation but you have to thaw them out correctly before toasting them. I had to let the sandwich sit for about 20 minutes to get the contents to proper room temperature but that made the sandwich soggy. The second issue was the panini was over toasted. It was in the press for a couple of minutes more than it should have been making the bread extremely crispy. Overall this was not a good panini.  Obviously I was not very impressed with my first visit so I was in no hurry to return. I decided to give them another try a couple of days ago. This time they were not that full. I decided to get the chicken breast panini ($8) which as per the menu is pesto, chicken breast, spinach, tomatoes, provolone cheese on focaccia bread. This time I observed process a little closely. The sandwich was first microwaved to thaw it out and then toasted in a panini press. This time the panini was only marginally better. At least it was thawed correctly, but could have used a little more time in the toaster.  Price wise it is in line with what you will pay at other independent sandwich shops in the area but consistency in quality is lacking. I think they have potential but need to fine-tune their process a little more. Competition in this area is intense (there are 30+ sandwich shops in a 1 mile radius in downtown) so when benchmarked against other independent sandwich shops like Front Door Café, Good Luck Café, Chez Julien etc. they do need to take a step to catchup."
Il Canto Cafe,"They deserve 6 stars. They are so nice,  and the breakfast burrito was tasty. They let me charge my phone too. No indoor dining, but a nice patio with tables. Drip coffee was great too and fresh, no burnt or ""old"" taste."
Il Canto Cafe,"The breakfast burritos were really good but that's the least of the story for me. The staff was so nice. I felt like they truly wanted me to start my day off great. Thanks for the kind message on my bag and the deliciousness inside the bag, I gobbled it down."
Il Canto Cafe,"Interesting breakfast Burritos, I dig the tofu, usually add avocado and you're good! I pass Starbucks up at rhe corner then grab one of these on my way to the office and I'm set to get through my day."
Il Canto Cafe,Super delicious breakfast burrito! Best I have ever had. I was so pleasantly surprised. Too bad we are only visiting SF. I want to have their burrito all the time.
Il Canto Cafe,"Fantastic breakfast spot. Really really liked the breakfast burrito, and the bagel sandwich was also quite good. Honestly, it's the scrambled eggs (made with red bell peppers, green onions, and sriracha) that they put in their dishes that steals the show. So get what you enjoy with the eggs in it.  When I was in the area we went there for 3/3 meals; why even bother finding something else when this place is so reliable?  Be prepared to wait 20+ minutes though due to high demand."
