0,1
Noe Cafe,Nice coffee and food options... They had run out of bagels when we got there due to it being busier than normal. Overall decent experience...  Will pop in again for a coffee when in that area.  Avo toast looked great... But tasted average...
Noe Cafe,"Very small but warm atmosphere. Limited menu but includes some unusual food and drink. Also sells a carefully curated small number of gifts. Large, clean rest room, warm, patient  friendly staff. Popular with folks working on laptops."
Noe Cafe,"Beautiful cafe on a street corner with outdoor seating and a variety of pastries and drinks.  There was a short line when I visited on a Wednesday afternoon. It appeared that the indoor seating was closed off. When it was my turn to order, I stepped to the counter and got a ""Fresh OJ"" and ""Everything Croissant"" which totaled just under $10. Paying was easy because they accept mobile payments and cards. The juice tasted fresh but was in quite a small cup for $4. Still, it was a reasonable serving. The croissant was super flaky and there was a good amount of everything seasoning on top. It was filled with a squiggle of cream cheese. Utensils, napkins, and that sort of thing were on a little table further inside. The walkway wasn't very wide, but a small wheelchair could squeeze through. Overall, it was a good experience, though pricier than I expected. But if you're going to a cafe, it's because you want to splurge a little and not make a drink for yourself."
Noe Cafe,"My mocha wasn't good - some artificial flavor that I don't really expect in this drink. The hotdogs are great, though. Exactly how I make them myself."
Noe Cafe,Fantastic trendy and very popular coffee shop in the heart of Noe Valley with a great selection of beverages (including wine!) and treats and lots of varied outdoor seating. I went on a Friday afternoon and the place was packed.
Noe Cafe,"Would give it more stars if they'd just open up the indoor seating (they have it! They just won't let you sit on it!) Great baked goods selection, only slightly overpriced but generally on point. But if you're looking for a nice community spot, this wouldn't be it (unless it's not raining or isn't cold and the 4 seats under their canopy aren't all taken ...)"
Noe Cafe,Stopped here on a rainy morning. Friendly staff and nice atmosphere. Would come back! Had a really tasty Americano
Noe Cafe,"They make really good espresso drinks! The espresso is always properly pulled, no strange bitterness, and the milk is steamed well, nice small micro foam and not burning hot.  Decent pastries and breakfast sandwiches too!"
Noe Cafe,"We live around the corner, so this spot is super convenient for us. Their pastries are fantastic, coffee is pretty good too, but I’m not a coffee aficionado. We’ve usually had pretty good service here, but as others have commented, that can be hit or miss.  The main reason I took off a star is because their policy on dogs is bizarre. I usually tie my dog up outside, where they have nice hooks and dog bowls, but one day, I saw another person go inside with their dog (and not some teeny dog or service dog either, it was a big Bernese mountain dog with no harness) and saw the baristas talking excitedly to the dog and owner. I was next in line after this person, and when I tried to bring my dog in, I was told dogs aren’t allowed. I have absolutely no issue with dogs not being allowed in a café, in fact, I think that’s best practice. But it’s really frustrating as a customer to see special treatment given to friends of the staff or owner. And then today, my husband stopped in for a donut and said there were at least eight dogs running around the café.  The staff was so preoccupied with entertaining the dogs that he and another customer got sick of waiting and ended up leaving. My advice to the owner would be to have one consistent policy when it comes to dogs, preferably that they’re not allowed in the café ever for health code reasons, and stick to that, regardless of who comes to the door."
Noe Cafe,"Best avocado toast in town, amazing coffee and friendliest staff. Highly recommend!"
Noe Cafe,"Gave this place another chance this afternoon. On both occasions, the service at the counter left much to be desired - I had a small order (two drinks and a pastry) but the cashier’s standoffish and impatient attitude made me feel like I was wasting their time and extremely uncomfortable. Drinks and food were good but not enough to make me come back. Unfortunate since we live so close by."
Noe Cafe,"""Happy Hour"" means no coffee, but cocktails. We looked for a cafe open late that had a neighborhood vibe. This place definitely fits that bill but we didn't order anything since we were there to grab coffee, tea and cocoa to go but got there after happy hour began. Would love to visit next time we are in San Francisco. People were really nice and it felt so hip in there."
Noe Cafe,"Best coffee and surely one of the best coffee shops in SF! They have the loveliest pastries and really good bagels, and the drinks are fantastic! Vibe is great, especially with the outside seating. They don’t have wifi so keep that in mind when working from here. My fav spot in Noe 🧚‍♀️"
Noe Cafe,"bad vibes, v mid coffee (esp do not get the cold brew, it’s so bad) pic of the sludge at the bottom of our cold brew  side note, I wasn’t trying to work here but why have such nice booth space built if you’re never going to let anyone use it ??"
Noe Cafe,"Cute little cafe in Noe Valley. Had a nice decaf specialty latte with cinnamon and I really enjoyed it. They have all the milks, and looked like some good pastries although I didn’t partake. There was lots of outdoor seating in a quiet neighborhood. Great place to stop"
Noe Cafe,Visited on a Saturday morning for some coffee & pastries! The everything bagel croissant was very tasty and the lemon scone was my personal favorite!  Definitely recommend!
Noe Cafe,"Cutest little cafe in Noe Valley: winning combo WARM pastries and delicious beverages! Parking was pretty easy to find and there’s a cute parklet outside to drink coffee.  Today I ordered Cortado and Americano. Both were solid! The empanadas were amazing served warm. It is the best when cafe offers to warm up your pastries!  They partnered with many amazing local places for you to get delicious empanadas from Pampa BBQ, pastries from Kahnfections, Poppy Bagels!"
Noe Cafe,Esther - thank yo so much! you are the best. We so appreciate that! The oven really does make the pastries amazing😍
Noe Cafe,Great cappuccino. The baked goods looked AMAZING - will be back for those tomorrow 😋
Noe Cafe,Fresh coffee roasted on premises.  No indoor seating.  Very busy all the time. We'll made fresh pastry and barista style drinks.
Noe Cafe,"This is my favorite cafe EVER here in the city. I love their coffee, lattes, pastries, empanadas and most importantly the staff. I look forward to seeing all of them and we are all on a first name basis! One of the baristas Oscar introduced me to an Americano that I get either iced or hot with cream that is perfection. I even use their Guatemala coffee at home. They use local bakers and my favorite cookies I get weekly are the homemade animal cracker type cookies with sprinkles. Incredible!"
Noe Cafe,"Friendly nice cafe, lots of drink and food options. They serve wine and beer.  Currently no seating inside. They have a covered parklet but the wind gets through and a about half the seats are out of that anyhow, so it can be cold on windy days."
Noe Cafe,Super cute new coffee spot in Noe with lovely outdoor seating. Lots of yummy looking pastries and several are “gluten-free.” Decaf and oatmilk are also available.
Noe Cafe,Thank you for your kind review Rose. We really appreciate it! 🙌🙌
Noe Cafe,Our beloved local cafe! We probably go here 3-5x a week! Friendly staff and neighbors. The pastries are great! I personally love the sticky bun. The London fizz is also great. What’s not to love.
Noe Cafe,"Cute spot in the heart of Noe with good coffee, gluten free pastries (if you go in the morning), and non gluten free (but delicious according to my husband) empanadas in the afternoons. Good outdoor seating and it is on a slow street so you can actually sit and enjoy without traffic wizzing by!"
Noe Cafe,Lovely neighbor coffee shop. Also serves wine and beer! Great stop with the family.
Noe Cafe,"Totally average coffee shop severing a decent cup of coffee and pastries. Nice staff, clean but over priced.  Not bad in a pinch but there are better options very close by."
Noe Cafe,About as good as you can get. Very friendly staff who are always happy to give you their opinion on drinks/beans if you ask. Their coffee is downright amazing (cappuccinos FTW) and they sell a lot of interesting things there.
Noe Cafe,"I love the vibe, look, and everything about this cafe! Great for wfh work spot too! Will come back not only for this chocolate Nutella croissant of course!"
Noe Cafe,"👍Good coffee 😣 The pastries was not that good, pretty dry... And Kind of expensive …"
Noe Cafe,One of our favorite coffee shops in SF. The staff is amazing!
Noe Cafe,"LOVE Noe Cafe!!! Great coffee, great beer, and a great neighborhood meetup spot.  Every time I come there are people outside talking and enjoying the slow street. There are often food options in the evening too."
Noe Cafe,Nice coffee with a great atmosphere and friendly barista.
Noe Cafe,"All the guys here were very helpful and sweet. No snooty baristas here! I got a decaf Americano and a seasonal scone. Oh my. They were both *chefs kiss* perfection! My friend got a juice and a couple empanadas, and she loved hers as well. There was plenty of outside seating. For a first visit, we were both impressed. We'll definitely be back!"
Noe Cafe,I don’t understand why there are so many good comments out there!Based on this comment ppl decide to pay a visit to this place.Cappuccino tastes bad probably on of the worst i had in my life and they make you sit outside even in cold and rainy weathers
Noe Cafe,I love this cafe! It’s a half block from my house and I go there all the time for coffee and pastries. They have a great canned beer selection if you want to grab a single beer. Great atmosphere for hanging out as well!
Noe Cafe,Stylish & buzzing cafe in Noe Valley. Great place to meet up with friends for an easy brunch & catch some rays on a sunny day.
Noe Cafe,Terrible drinks. Hours are wrong. Unusably slow wifi. They made us sit outside in the rain even though there were empty tables inside. Someone yelling loudly inside. Worst cafe I've ever been to.
Noe Cafe,Cute family-owned cafe with convenient seating and a relaxed vibe right along the pleasant Sanchez slow street project. Great coffee and a good selection of pastries; it's a welcome respite from the normal busy and noisy city street cafes whether you want to wake up with caffeine or wind down with wine or beer.
Noe Cafe,"Great location, nice place. Ordered Americano and it wasn’t hot. Almond croissant was old today. Tasted like croissant that was on the shelf already second day. And they can’t warm up pastry here."
Noe Cafe,Perfect little coffee shop in Noe Valley away from the main strip. Unfortunately it’s right by a slightly busy intersection but the neighborhood vibe makes up for it. Good food selection too! Try the empanadas!Great pop-up food a few days a week makes for a serendipitous delight.
