0,1
Philz Coffee,I loved their coffee ! So perfectly blended and minimal wait time .
Philz Coffee,"Great spot to get coffee, Philz style. It's not your standard coffee bar, they don't do lattes or cappuccinos. You get delicious filtered coffee, freshly brewed just for you. I love the Mint Mojito, creamy, unsweetened. Their almond croissants are amazing, get them warmed up for an upgrade in your experience 🥐💕"
Philz Coffee,"Best iced coffee in town! You must order their ice coffee mint mojito, won't find anywhere else then in SF!"
Philz Coffee,"Cute little place, pleasantly placed. Outdoor seating is alright. It's handily near a bart station too. Pretty atmosphere as well."
Philz Coffee,"Phliz is consistent everywhere you go on the west coast. Everything is made to order and fresh! Reasonably priced, outside of the lines you can’t go wrong for a quick drink or even if you need some space to do a bit of work."
Philz Coffee,"This place was awesome - the best brewed coffee I have ever tasted! The setup of the store, the ambience, the service, and mostly the quality of the coffee was just incredible. I loved how they take their time in making your drink to perfection. My barista was very nice and helped me navigate the choices given this was my first time there. I tried the Tesora (with cream but no sugar) and would suggest this blend for all medium roast coffee lovers. Highly, highly recommended!"
Philz Coffee,The good ratings are definitely not for the coffee taste...tastes like gas station coffee tbh
Philz Coffee,"I fall in love with their coffee. I must say that there is no other place in the world that even close to the uniqueness of their coffee. And this particular branch is my go to Philz, located only one block away from my office. They also have a few outdoor seating here."
Philz Coffee,"My wife and I were visiting SF and we saw wanted to stop by to find some good coffee. We found Philz Coffee and read a lot of good things from review and friends and thought that we would give it a try. We ordered the Iced Mint Mojito Coffee to try something different. I was amazed at how great this worked. The coffee was smooth and when getting to the mint, it had a nice refreshing taste! I would definitely order it again and also would recommend this as the staff was great and the ambiance was very relaxing!"
Philz Coffee,"This was a wonderful stop for breakfast and a cup of delicious coffee. The line was out the door, but definitely worth the wait. We ordered the avacado toast and a breakfast wrap that were both delicious. The pour over coffee was awesome, will definitely go back to Philz when in the bay area."
Philz Coffee,"I asked for a recommendation close to an iced latte, but I got a hot coffee with barely any milk. Chairs and tables are arranged terribly too."
Philz Coffee,"The rose coffee sucked , but I liked the plant-based breakfast sandwich."
Philz Coffee,I agreed to buy a homeless man breakfast and the barista literally told me I couldn’t. He wasn’t harassing anyone 😔 …
Philz Coffee,"This was my first time at a Philz Coffee. I ordered a dirty chai, which i normally don’t get to order because they’re all pre-sweetened mixes or strips, and I don’t like mine sweet.  I get the order, and it’s just a chai latte. I went back up to the front and the ladies explained to me that they don’t have espresso here but that they were happy to add some coffee to my chai.  I said that would be awesome, and that they could just pour off some chai and top it off.  She ended up just remaking my drink and letting me know that she’d be happy to make me something else if I didn’t like it. I liked it just fine! Experience was great. And they had candy out for Halloween!!"
Philz Coffee,Location - 5/5 ( Approachable location ) Entrance - 5/5 Staff - 5/5 Quality - 5/5 Quantity - 5/5 Value for money - 5/5 ( All beverages are worth it but food section is super expensive ) - Washroom is decent. - Inside gets little crowded so you can enjoy sitting outside.
Philz Coffee,I had the Plant Powered Sandwich that tasted great!
Philz Coffee,I was positively surprised - being a cappuccino fan I could have been really disappointed-l only brewed coffee here! But the taste of the different brewed coffees and the added spices make it something unique and different from the crowd of cafes. I found also the pastries pretry good and a bit different as well feom the masses. I recommend trying it at least once to check if it could be a nice variation for you too.
Philz Coffee,"best cup of coffee I’ve had in my life, no joke. Didn’t expect that at all. Staff were great and the business flow was amazing. Highly recommended!"
Philz Coffee,Great coffee individually crafted and refreshing flavors. Lines is huge so order ahead of time using their phone app and beat the crowd
Philz Coffee,"The service here is incredible! I came here to study and write my paper during finals, and am so glad I did. The coffee here is always consistent and made to order. I always get the tesora blend. Absolutely delicious!"
Philz Coffee,"Nice coffee shop with outdoor seating, clean toilets and great staff. Ask for ceramic mugs to prevent waste. Water for free as well AS wifi. I liked Philz iced tea!"
Philz Coffee,Great Chai and the Iced Coffee Rose was super cool with the pink tinted cream was tasty and cool looking too!
Philz Coffee,Every single item I tried here was so good. Best to worst: Veggie quiche - heartwarming delicious filling with warm bread covering Almond croissant - unique item with sweet juicy bread Blueberry muffin - soft and spongy Butter croissant - simple but you can really taste the butter among the slightly crispy layers Cinnamon bun - average but had a generous amount of raisins All the ingredients seem to be high quality and the service was very polite.
Philz Coffee,I just loved going here. The barista was awesome. I thought his attitude and behavior was so welcoming. The staff were friendly and always smiling. The coffee tasted amazing!
Philz Coffee,"Philz is still the king of the pour over...At the more trendy, exclusive cafes, they do pour overs like it's always been a thing, but Philz got it lit. When combined with a large array of full flavored coffee, the pour over technique and Philz combine for a cup that's worth the $6."
Philz Coffee,"I will definitely re-visit here for Mint mojito coffee. Seats are limited, so i recommend you to take a coffee out."
Philz Coffee,this location is my part of walk to office routine. use app to order my drink about 40 min before there. you can pick up right on time. sometime I still need to wait for couple min but still accurate from reserved time.
Philz Coffee,"If you enjoy a normal coffee, don't come here. Very light coffee. Weird and simple sandwich. I asked for a “bagel everything” and i got an empty bagel with 2 pots of cream cheese. It may be a cultural thing. I don’t recommend it."
Philz Coffee,This place was so good! It was recommended to me by someone who used to live in the bay area. I'm bummed because it was so good and we don't have any where I live! They are also super helpful if you are new. They let you taste the coffee to make sure they made it right.
Philz Coffee,"Friendly service, excellent tea and coffee. There are a few great reasons Philz is famous--they do what they do well."
Philz Coffee,Best coffee around.  Although they just switched up the blends.  My favorite didn't make it.
Philz Coffee,"Great coffee is worth the wait. I typically meet at this location for business coffee conversations.  Plenty of seating outside and a great cup of coffee.   It usually takes around 10 minutes to order and get your coffee, but I find the quality to be much better than other shops in the area. The mint mojito is awesome. The staff is friendly and efficient, but you can also speed things up by ordering via the mobile app."
Philz Coffee,"Rene ALWAYS makes my drink BUSSIN every time, never fails. Rene u the real MVP"
Philz Coffee,"Stale pastry, lukewarm coffee and dessicated, tiny burrito. I ended up throwing out over half the burrito and all the pastry. The mocha coffee with cream was ok but barely lukewarm. The chocolate pastry was at least two days old. The burrito was mostly over microwaved, dry, wrapper and just overall the size of a McDonalds breakfast burrito - and not as fresh or tasty. Just stuffed with potato mainly, with maybe  a third of a thin bacon strip and half a scrambled egg. No vegetables or sauce at all. Had better frozen breakfast burritos from 7-11. Menlo Park was light years better."
Philz Coffee,"Almost 18 different types of black coffee ..  ""Itz the best"" is the best one I've tried .."
Philz Coffee,Worst coffee shop I’ve ever been to.  They could not make a coffee in the 15 minutes I had before a meeting.  To go iced coffee comes in paper cups with no lids or straws so there was no way to bring it without spilling or making a mess.
Philz Coffee,"This coffee shop is well-known for its delectable pastries and beverages. I'm glad I got to try it because it was delicious, particularly considering how incredible and fulfilling they all are. However, the service is excellent, and I really advise you to use it!"
Philz Coffee,"Visiting from Ohio and never heard of Philz. I ordered Silken Splendor, so I could use the restroom. Let me say, I was surprised! It was the best cup of coffee I've ever had. It was amazing, and I had no idea coffee could taste so good! Customer service was great too. Employees were patient and friendly!"
Philz Coffee,"Philz is good coffee, definitely not great coffee. Ordered 20 ounce coffee cost was $5.44, that is a extraordinary price tag for a large coffee. Plus they use brown sugar as a sweetener, brown sugar is definitely going to interfere with the flavor of the coffee because of the molasses in the brown sugar. Would I go back to Philz for coffee? Yes, but the coffee is just way too expensive for what you get."
Philz Coffee,Mojito coffee was weirdly satisfying. It is a must try if you are visiting from Eastcoast.
Philz Coffee,"Wow. What an experience. I came here during a business trip and ended up coming over five times during my three-day stay - and then came back for more on the weekend. The coffee is bar-none with so many amazing flavors, and the staff is super knowledgeable and kind (especially Yumi) - taking the time to walk us through the menu and even let us do a little tasting of their trademark blends. Highly recommend!"
Philz Coffee,"Philz has a reputation an for fabulous coffee which is quite accurate, my favorite being the Silken Splendor (with cream). I love how they make the experience feel so customized. The one downside is that the lines can get pretty long at what appears to be any time of day but it's well worth the wait. Heads up though, their coffee can be incredibly strong."
Philz Coffee,"Good Philz location. The coffee is amazing and some of my favorite in the Bay Area, and just about any drink on their menu is great. This location, however, can be extremely hectic and busy due to, well, its location. Expect huge rushes and wait times in the morning, lunchtime, and in the afternoon. But it's for Philz coffee, so it's worth it."
Philz Coffee,Another great Philz location. During the morning rush they are still surprisingly quick at making coffee.
Philz Coffee,Great coffee and staff but seriously... I’ve had to walk out because of the line here at least 8 times in the last 4 months. It doesn’t matter what time/day it is. I work close by (2 mins) but you can easily spend your entire lunch break here waiting to get a plain cup of coffee. They should come up with a better system... not every has reliable Mobile devices to use the walk up app.
Philz Coffee,"Amazing coffee in a great location with amazing staff. Who could ask for more? Each cup is an individual pour over crafted with care. They ask you if you want cream and brown sugar (delicious), but if you're a true coffee lover, try it black. They have a lot of varieties with amazing flavor profiles."
Philz Coffee,"Star* has better, more predictable quality. It’s sad to see but true. This place was excellent. Unfortunately, something was lost."
Philz Coffee,"One of the worst location to go to, messed up my coffee.  It is understandable that they are busy but there is no point buying a coffee from Philz if it’s going to taste worse than the coffee I make at home."
Philz Coffee,Amazing service and amazing coffee. Much better than your normal coffee chain.
Philz Coffee,"Coffee Only here. No Espresso...but trust them, they know what they are doing. Great local coffee stop in the middle of all the offices and worth the wait."
Philz Coffee,"Excellent Philz location in terms of quality of coffee AND customer service.  I ordered an iced coffee online and even though my order was marked ""complete"" in the app, it wasn't at the pickup counter. After waiting 10 minutes, I got the chance to ask an employee where my drink was. The barista was SO kind and apologetic, he even refunded my entire order and I got my coffee for free just moments later!  The only way I would improve this specific location is more seating, but it's more of a grab-and-go branch for FiDi employees.  As always, Philz coffee is high quality and freshly, cheerfully made. Always a good choice!"
