0,1
Philz Coffee,"Their tagline is “we do coffee differently”, and I’d say maybe if it ain’t broke, don’t fix it. I’m a daily coffee drinker, but my taste is pretty simple: drip coffee, an americano or a latte is my go-to order. Philz apparently doesn’t think these options are good ones to offer at a coffee shop. I ordered a named coffee the barista recommended. I didn’t love it. Tasted like those coffee machine from gas stations that fill the cup with powder, then a dark liquid. Drank only half of mine. My travel partner loved their mocha, for what it’s worth."
Philz Coffee,"Staff is super friendly. Had a cup of  light-roasted coffee with a banana cake. The cake, I was hesitate to take it at first , but it tasted like homemade, yummmmmmmy. Coffee was full of aroma, for sure 😃. Good vibe to stay, quite and comfortable."
Philz Coffee,3.6 Some people love mint monitors but I don't. It reminded me of the first time I had a coconut drink. I should try something else.
Philz Coffee,"Good location and drinks are decent, although there was an excessive amount of sugar at the bottom of my iced mint mojito latte. And they main reason I'm writing this review: they did not let me use the bathroom! Bathrooms used to be for paying customers, now they are for employees only. I know this reflects a deeper problem with customer service in San Francisco, but when you're a coffee shop where people come to work, you have to let people use the bathroom. They say their customers are part of ""Philz Family,""  but that's no way to treat your family."
Philz Coffee,Mojito Latte.. mind blown but in a wonderful way. Taken by complete surprise and so glad I tried it.
Philz Coffee,"interesting concept with only drip coffees ! mint mojito is what they’re known for and it was definitely fun to try but wouldn’t get it again. ginger snap is less popular than mint but i thought this signature drink was better. iced drinks are difficult here because they’re using hot drip coffee to make them, so the iced mint mojito was a little diluted"
Philz Coffee,"There is a really loud, overbearing, constantly-talking employee (tall blonde long hair) that disrupts the mood of the cafe. People come to the cafe to work on projects, relax, to have a soothing time and to try to escape… they do not come in to hear constant, loud, obnoxious, personal conversations. It’s understandable to have chatter between employees but when you’re volume is at 150% it is extremely rude, tacky and unprofessional. Please speak to employees about this and if you’re a customer and need to focus on work do not come to this cafe."
Philz Coffee,"The music is great, good spot to get some work done and get your caffeine buzz. I had a rich hot cocoa yum!"
Philz Coffee,Pricey? Yes. Worth it? Every penny! I love their hot chocolate. I could bathe in it.
Philz Coffee,Been to many Philz and live next to the one in Belmont Shore/Long Beach. This was my first time at this location in the Castro. The service was mediocre and the bathroom was filthy. It honestly looked like it hadn’t been cleaned in a while and was giving gas station restroom vibes. I’d definitely take a pass on this location next time I’m in town.
Philz Coffee,I had to use the bathroom while shopping in castro and thought I might as well get some coffee. I can't have sugar so I didn't have high hopes for my cold brew when I found out they didn't have any sugar free syrups.  I ended up ordering a small cold brew with just cream and two Splenda.  The first drink I took shocked me! Did they put magic in this cup? I can honestly say that this was the BEST cup of coffee I have ever had in my life which is saying something as I am an avid coffee drinker! I will be ordering some of their coffee for home as soon as I get back from vacation and will rave about Philz until I die.  If you ever get the chance to drink their coffee do it! And order a large!
Philz Coffee,Fun location and great staff. Enough seating to get some work done and enjoy a great conversation.
Philz Coffee,"Great coffee, great service! The order taker was a total flirt but it was greatly appreciated!!"
Philz Coffee,"I love this place. Plenty of coffee choices to suit just about any taste.  Staff are always fun and quirky, just as SF is!  Popped in here yesterday only to find they were closed due to Covid.  Thanks for doing the right thing and protecting your staff."
Philz Coffee,If you like overpaying for low quality coffee that requires a ton of cream and sugar to be drinkable then this is the place for you. The staff are nice but otherwise I’m not really sure why this chain is so popular when there are many other local spots with much better coffee at the same price point.
Philz Coffee,"A nice place with very friendly staff but for European taste the coffee tastes horrible. I think the Americans like that taste, for us from Europe is more like dishwater :) but otherwise a great place and great attitude. Europeans: get tea instead of coffee or their amazing pastry"
Philz Coffee,"As usual, Philz always keep their most standard to serve their customers."
Philz Coffee,Specialty in Drip Coffee... Deliciously handcrafted from Bean to Cup. My Batista even airated my Tesoro. Novel concept with exceptional quality and service. Warm welcoming environment.
Philz Coffee,I love Philz in general but specifically THIS Philz! The cashiers are always so friendly and the rainbow design hints plus ode to Harvey Milk make me feel happy. We need more places that offer kindness and a smile! Thanks Philz!
Philz Coffee,"Philz Castro Street is consistently a 5 star experience. The counter staff are always friendly, funny, patient and accommodating. Though I'm only a 'regular' on my trips home to SF, I feel like one every time I step through the door. Whoever does the hiring for this location has got it spot on. Great coffee (obviously) and pastry selection. Plenty of seats and tables to stay and work if necessary. Good, reliable wifi. What more do you need?!"
Philz Coffee,"Small indoor and outdoor seating, but it wasn't crowded when I was there so I was able to find a seat. Good music selection and of course, amazing pour overs. Definitely will stop by again when I'm in town."
Philz Coffee,"We were there on 8/21/22 at 6:30pm, 30 minutes before closing. Manager was extremely rude. I won't come this branch anymore. She was yelling us and yelling her team too. 4 more person came in to the store after us. She regret to serve last 2 of them. Time was at 6:40pm when she did that."
