0,1
Piccino Coffee Bar & Bakery,"Food was good 😊, the service was a little busy somewhat grumpy/ impatient on that day we were there, but it's Sunday brunch so we tried to understand.  The atmosphere is amazing. I love the area and the restaurant itself.  The food was great, but may not be worth the price. It wasn't extraordinary or at least something more complex that I would say, no can't make that at home. Taste is exceptional, but maybe pricing OR serving size needs some check?"
Piccino Coffee Bar & Bakery,"Hi Hazel, thank you for your review/feedback. If it's not too much trouble, would you mind leaving this comment under the Piccino profile? This one is our coffee bar next door. Here's a direct link to the restaurants profile: https://g.page/piccinosf?share"
Piccino Coffee Bar & Bakery,Really cute neighborhood spot! Some delicious pastries and my favorite flat white in neighborhood. I love the banana drop cookie and savory scone. Really appreciate vegan food options! Tried the matcha latte a few times and it was not great (super clumpy) so I will stick to their coffee!
Piccino Coffee Bar & Bakery,Flat White with Oat Milk is strong and flavorful. Note that they only offer take outs and there is no indoor seating.
Piccino Coffee Bar & Bakery,Thank you!!
Piccino Coffee Bar & Bakery,"I got a Gibraltar/Cortado on Saturday and Sunday. Consistently well-made with low acidity, a lovely design, and friendly service. Quite busy on Sunday, more chill on Saturday. Earlier probably better. A bit pricier than most, but it’s hard to argue with the quality. If you want to be nature friendly, you can get your drink served in glass and enjoy it at the sunny park right next-door."
Piccino Coffee Bar & Bakery,"We are so pleased you enjoyed your visits, and thank you for the high praise review, we truly appreciate it Shawn!"
Piccino Coffee Bar & Bakery,"I’ve been having coffees here for last 4 years and it’s been a great spot until today. It’s a new guy with long hair. He was very rude and impatient when I simply was trying to confirm my order. Not sure what triggered him but man, I was very disappointed."
Piccino Coffee Bar & Bakery,Their Coffee Bar is quaint and I love seeing all the fur babies daily.  I enjoy having an Oat Latte here with a ginger scone or their Lemon Cake is equally fantastic. Highly Recommend having either baked goods or BOTH!
Piccino Coffee Bar & Bakery,"Such a pleasure reading this review, thank you so much Betty! See you again soon for that Oat Latte and that tasty treat! :)"
Piccino Coffee Bar & Bakery,I’m disappointed with the service of the baristas. I have seen them blatantly ignore my partner more than once as if they didn’t want his business. Their coffee is mediocre that it’s not worth returning for the bad service.  The only barista that provides a great experience is Sean.
Piccino Coffee Bar & Bakery,"There's a reason why this place is a staple of the Dogpatch.  Great food, great service, great drinks.  Watching the kitchen staff work is like watching a well oiled machine run.  FOH staff were attentive and friendly."
Piccino Coffee Bar & Bakery,Absolutely loved the Cortado the barista made for me. Tasted like real coffee than the stuff you get in fancy coffee chains. Costed $5 but worth it. There are stone benches outside where you can sit and enjoy the coffee. Try it!!
