0,1
Red Bay Coffee Ferry Building,"Really good coffee, although a little pricey. Located in the Ferry Building was super convenient.  Used the tablet to order. A 12oz mocha latte was about $7. Service was great and good vibe in the cafe."
Red Bay Coffee Ferry Building,"Ordering kiosks a convenient addition. We had a decaf mocha and a Saigon latte. Both tasty. Unfortunately no low-fat milk. Choices were whole milk, half and half, almond, or oat milk."
Red Bay Coffee Ferry Building,"Like this spot for their yummy bakery! Their seasonal croissants make people come early! As for coffee, I’d say it’s on the same level as the Blue bottle. But if I’m lucky enough to catch croissants I’m ordering coffee here as well. They have no sitting inside but there are some nice spots in the ferry terminal or outside on the market plaza where you can seat and enjoy your treat."
Red Bay Coffee Ferry Building,"Vegan / Veg / Vegetarian review:  Tried their oatmilk mocha based on the barista’s recommendation. It was all right, low on calories but not the tastiest! Worth trying if you’re vegan and want something on the go.  I really wish they had vegan croissants though 👀"
Red Bay Coffee Ferry Building,Coffee shop in market place and. Ferries mall! Quite professional and very nice coffee! Great to sip a perfect expresso after eating 3 dozens of oysters from their neighbor hog island oysters co! Highly recommended
Red Bay Coffee Ferry Building,I love coffee and so I always appreciate a good kind. It’s also nice to be hanging out here just vibrantly amusing watching people come and go while enjoying a really good coffee :)
Red Bay Coffee Ferry Building,"Pleasant ambiance with a great view of the water from the seating. Amazing place to cowork as there's plenty of comfortable chairs and desk space to accommodate. I got a hot tea which was very well priced ($3.15) and I had a variety of delicious options to choose from. A great reprieve from the bustling market street experience, before I make my way back out into the world."
Red Bay Coffee Ferry Building,It is so much fun to grab a coffee and drink it in a 130 years old ferry building and watching ferries come and go
Red Bay Coffee Ferry Building,"I like the vibe and minimal design with nice chairs. There are some really cute merchandise to buy. Always a line to get your coffee. I got charcoal latte and asked for half sweetener but it was way sweet and I didn’t like it. And got a black tea it was ok like other tea bag one!  But i went there for work it had wifi and nice chair to sit for a ling time. I haven’t try their coffee and will go again for work because of it’s location, ferry building and nice vibe! Charcoal latte will get 2 stars for me!"
Red Bay Coffee Ferry Building,"Conveniently located in the ferry building. Has a variety of hot and cold beverages as well as a few snacks and coffee accessories. Unfortunately, give it lower stars because they charge extra for plant-based milk which these days, should be less than if not equal to more environmentally destructive animal milk.  They have coffee as well as tea, such as matcha. They also sell one fine + raw chocolate item which is nice to see you. Would be great to see more vegan items, including in the pastry case."
Red Bay Coffee Ferry Building,"One of the best coffee drinks I've had in SF so far. I found myself just sitting down and enjoying my cup because it had such a pleasant taste. It had a strong and smooth flavor that was easy to drink. Plus they made ordering so convenient for their customers. You can either line up, order at their kiosk, or order online so you can just pick it up when you get there. I found myself coming back to this place every chance I got."
Red Bay Coffee Ferry Building,"Bad day for coffee. We came across town to try out the coffee shop. We were excited about the menu. I placed the order latte, coffee and Tumeric tea latte.  Paid and gave them my name. Gave 25% tip. And we waited...waited and waited. We saw folks behind us getting served. We told the folks behind the counter and told them about our order. No one was now in the coffee shop. The young lady said, "" Well let's checked if you paid."" In a sarcastic way. The cashier confirmed I paid. They made it and not a simple sorry. This is what is wrong with some folks. Sorry will go a long way. So with that your place gets no star for service. And I have a lots of friends that love coffee. No more Red Bay coffee!!!"
Red Bay Coffee Ferry Building,"Coffee is a medium or a dark roast, a little bit too strong for me at first, but after a few sips roasteness kind of grew on me. It was a good late. Coffee shop itself is very nice and clean, very close to the ocean too. Staff is nice."
Red Bay Coffee Ferry Building,"Good location and nice space, but the Red Bay Spritzer was not for me - tasted like Coca Cola mixed in with espresso."
