0,1
Réveille Coffee Co.,"01/08/2023  Went there around 10am! Ordered iced coffee, Mocha ☕️, avocado toast, and breakfast muffin.  Our order came in a few minutes 4-7 minutes even though it was crowded!  Everything was soooo delicious and yummy!  For the ice coffee, I wish they had creamers like vanilla or caramel instead of only half-n-half. But still was good 👍🏻  Overall, it was good experience and highly recommend it if you like to sit by the window and see the life out there ❣️"
Réveille Coffee Co.,"I normally don’t get food at coffeeshops since often they reheat a pre-made sandwich, but this place has an actual kitchen and makes everything to order. Great spot in north beach for a more “modern” coffeeshop.  The house made hot sauce is awesome too, make sure to ask for it with your breakfast 🙏🏽"
Réveille Coffee Co.,"Cappuccino is amazing! We are visiting this place almost every day! Also, avocado toast is just from different planet! Amazing!"
Réveille Coffee Co.,"Great, warm, and fast service. Small but mighty menu. I loved the breakfast sandwich!"
Réveille Coffee Co.,A cute little coffee at the corner. They have nice coffee and nice interior design that matches the area vibe. Great place to have a coffee break while walking around with friends.
Réveille Coffee Co.,"Found this coffee joint on google and let me tell you it was amazing. Sitting here waiting for my food felt like I was in Europe so many foreigners come and go. This is why I love SF cause of the hippie culture and European tourists. I ordered a platter potatoes, eggs, bacon and sourdough toast. It was just the perfect amount and the coffee was delicious. Great staff and their cook is a beast. The home made green salsa is crack! Recommend."
Réveille Coffee Co.,"Their matcha latte is 🎯 airy and well-lit with windowed-walls, great for feeling a part of the neighborhood while enjoying a cafe vibe. …"
Réveille Coffee Co.,"amazing coffee, food, location, service.  their avocado toast w a poached egg is exceptional.  and breakfast sandwiches are out of control 🔥 good seating options outside and in."
Réveille Coffee Co.,"Delicious food and tasty coffee but unfortunately everything was served in plastic/disposable containers. Seems weird in this day and age when we know the impacts of plastic waste and disposable coffee cups, and also made it harder to eat because the plastic fork kept breaking!"
Réveille Coffee Co.,I really enjoyed the modern and clean atmosphere and friendly service but my latte and flat white were a bit weak and could be hotter. Unisex restroom through the back requires a code.
Réveille Coffee Co.,We came here for snacks but somehow the shelf was almost empty but 2 pieces of bread which was a disappointment. Had a mocha ☕️ but wasn’t that great. The location was great. Better luck next time?
Réveille Coffee Co.,"No disrespect to all the shops that carry coffee near Chinatown.  Didn't want watered down coffee nor milk tea.  Went to Chinatown to get some food and was planning on getting some coffee in the Mission.  Forgot that there was this coffee shop on Columbus St. Parking was difficult.  Went in and ordered my Sunday usual- 1 espresso, 1 coffee, and 1 latte.  Very cool shop shaped like a triangle.  Modern and clean.  Cute blue tables outside that would be perfect to enjoy on a warmer day and people watch.  Large windows and seats by thr window inside. They also offer some breakfast items but I don't usually eat breakfast!  Good coffee and reasonable prices.  Will definitely be back when it's safe to dine in again!"
Réveille Coffee Co.,"Little coffee place with good breakfast options, their bread was so good, it has a layer of cheese in it, crunchy on the outside and soft inside, french onion soup was good but not as warm enough. Overall good."
Réveille Coffee Co.,Very nice staff. I had a lovely americano with steamed milk. They also have a nice selection of pastries. I had a chocolate chip cookie that was great. I think they make them with brown butter and/or mix chocolate shavings into the dough.
Réveille Coffee Co.,"Great food, healthy options and a kick-ass avocado toast. We tried the Shakshuka, yogurt, eggs & bacon and the avocado toast with friend egg. Prices match the nice food. Great ambiance and right next to Chinatown. The staff is friendly. Their coffee and tea is really good and we would come back and definitely recommend to friends."
Réveille Coffee Co.,We went because they have gluten free options. Apparently they have several locations in the Bay Area. Many people frequented this coffee shop every day we went there. Their coffee options are good and they have many breakfast options.
Réveille Coffee Co.,"One year ago I stayed in SF for a week and got avocado toasts in here every day during my stay. However, they changed recipe since then.. avocado toast has way less avocado and weird sauce on top… I had terrible stomach ache after eating it.. haven’t had this issue 1 year ago! Something has changed and I am very sad not to call this place a must-go location in SF anymore"
Réveille Coffee Co.,"Great little modern corner Coffee House in the heart of San Francisco.  The cup sizes are perfect. Not to small like some of my visits to France and not to big like most American Cafes. While visiting I stoped for a cup of Soy Mocha and a healthy dose of Avocado toast. It is so nice to see more cafes carrying healthy options, so Cudos for the toast it was tasty.  There are a nice amount of windows in the cafe and some outside seating for all the sun you can handle. The decor simple and modern with wonderful staff. Great place to take a break from the rush if your in the City."
Réveille Coffee Co.,One of the best coffee in the area. Cappuccino is always awesome! Very much recommended.
Réveille Coffee Co.,"Went here for the cute drawings on the lattes I had seen on other reviews, however, I don't know if they have a new barista, but my latte came plain...the beverage was okay, but nothing remarkable. I was expecting more as a coffee lover. The pastries seemed to be from the day before, it was 9am and they didn't look fresh. The almond croissant that I had was really good tho, despite not being freshly baked. Maybe it wasn't the right time to visit, due to covid adjustments. The toilet is not open, so have that in mind."
Réveille Coffee Co.,"Loved the breakfast sandwich (with the “works”). Tasty pastries from The Midwife and the Baker, and superior latte art."
Réveille Coffee Co.,This rostery / coffee houses has just the best tasting coffee and they can prepare it right. Can’t recommend enough!
Réveille Coffee Co.,"We had a great time when visited Reveille for breakfast. We found delicious pastry, breakfast sandwiches, and great coffee there. The view from inside and outside was stunning."
Réveille Coffee Co.,Fantastic breakfast sandwich with what I believe was like noodle kugel instead of egg… SO tasty. Coffee very good as well.
Réveille Coffee Co.,Really nice coffee with great coffee. Both the flat white and expresso were really good
Réveille Coffee Co.,"Proper barista, coffee light shade bold chestnut taste ... my favorite cortado/gibraltar is yummy.  Wifi and restroom with code available.  Limited sloped (not flat) outside seatings available about 5 tables 2 seats each, happy turquoise color.  Inside seating along the windows, mostly singleton professionals with laptop.  Across Station Cafe across the street, another great coffee place with fab breakfast!"
Réveille Coffee Co.,"Good coffee, unfriendly service. The cafe is worth a visit for the interior alone, nestled into the point of a classic SF building. It is a great spot for studying/work since it is primarily bar style seating- but no plug ins. You shouldn’t expect friendly service however, the hipster baristas are too cool for a smile or quick small talk."
Réveille Coffee Co.,"After becoming frustrated at City Lights bookstore we decided to get a drink and were amazed. Great service, clean building and wonderful coffee!"
Réveille Coffee Co.,"Bored at work, at home or in school? Grab your laptop and spend your day here! Make yourself comfortable either inside where the modern interior and unique architecture fulfills the cafe with daylight or outside where you can charge some vitamin D while getting your work done.  In case you’ll get thirsty for strong and good coffee or hungry for a healthy lunch - no worries, they got you covered! Wi-Fi is available.  So what are you waiting for? Go and check it out! 😉"
Réveille Coffee Co.,I’ve come by a few times to get coffee/tea for myself and coworkers and every time it’s been a wonderful experience. The ambiance is inviting and the employees are really friendly.
Réveille Coffee Co.,Great coffee and their pineapple danish is heaven.
Réveille Coffee Co.,"Rude cashier. Gave me a smirk and she looked away; didn't say anything when I said thank you. Is a 10% tip too little? She might just be having a bad day but when the customer behind me tipped $2 or 3 for a cup of coffee, she lit up and said thank you loudly and was smiling.  They left my drink on the counter without saying anything. Didn't realize until they called out the customer behind me. What's going on with the cashier and barista there?"
Réveille Coffee Co.,"Awesome experience here. Great latte and super patient barista working on his own today with no help. Even with that, he was amazing and made a very delicious drink for me!"
