0,1
Sammy's Cafe,"A nice surprise find. The ham breakfast burrito reminded me of the one's I make at home. It was delicious and filling. My son loved his Eggs, ham and cheese bagel sandwich. The Vanilla Latte was just as I love. Very happy with my late breakfast."
Sammy's Cafe,"I’d give a 4.5 cause of price. But honestly 20 dollars for a meal, coffee, and brownie isn’t horrible. Otherwise they have just about every food you could think of and it’s made fairly quick. Really good burritos, great brownies, and decent coffee. For sure worth checking out"
Sammy's Cafe,"Great sandwiches. I got the chicken salad on a croissant and my family got the veggie bagel and a ham egg and cheese on a croissant. All were great. Atmosphere, drink selection, and restrooms are all nice. Public water pitcher is a plus also."
Sammy's Cafe,This place is okay. It's affordable in comparison to the other places in the area and that's appreciated.  The breakfast sandwiches can be skipped but the lunch sandwiches are delicious and worth a try.
Sammy's Cafe,"Delicious food, fast service, nice employees. I added avocado and sprouts as an extra."
Sammy's Cafe,"A small, friendly cafe in the Polk Gulch area offering a great variety of bagel sandwiches, club sandwiches, breakfast sandwiches, burritos, and more. Price was good, food was great. If you are exploring the area or need a quick worthwhile lunch stop. This is definitely a place to buy a sandwich."
Sammy's Cafe,Super low key spot. I got a pastrami sandwich on the sourdough roll and it’s one of the best sandwiches I’ve ever had. New favorite sandwich spot. I wish I could make it here every day.
Sammy's Cafe,The bagels were BOMB . Coffee not so much but its worth trying out.
Sammy's Cafe,"Cute little shop in a cool area, bagel was very good but I hated that they did the spinning tablet tip thing."
Sammy's Cafe,"Great breakfast to pickup and go, with the sausage burrito being my go to followed up with their ham&cheese breakfast sandwich on English muffin. I wish they were open earlier because I'd go more often"
Sammy's Cafe,Had a great breakfast sandwich (croissant). The breakfast burrito and smoothie were also really good. The place is clean and comfortable and staff were friendly and kind!
Sammy's Cafe,"This place was delicious, came here with friends on a trip where we specifically wanted to try different restaurants and we still wound up coming back here for a second round. I had a lox bagel the first time and a breakfast burrito the second time. Both were delicious and the burrito was wrapped in a way that you'd get a taste of everything in each bite. This would hands down be the breakfast and coffee recommendation of the trip."
Sammy's Cafe,Would be 5 but they didn't appear to have a restroom
Sammy's Cafe,"Bunch of options in the menu. Great sandwiches, Great prices I really enjoyed my breakfast ."
Sammy's Cafe,"Unreal egg and cheese on a bagel. Dense, flavorful, but soft asiago bagel. Egg, cheese, and turkey cooked to perfection."
Sammy's Cafe,Very nice cafe with good coffe. It is very personal. I brought my own gluten-free bread and the waitress made some nice sandwiches for me. The eggs and bacon was good as well.
Sammy's Cafe,"Excellent food, service, and general calm vibe in cafe. I highly recommend!"
Sammy's Cafe,Love their sandwiches. They are also super nice to customers.
Sammy's Cafe,"If you’re too hustled and bustled out by the glitz and bland of downtown San Fransisco, head on over to this quaint little shop and enjoy a delicious breakfast burrito. While pricey, the place was quiet and the food tasted great."
Sammy's Cafe,Wanted to be a regular here because I loved the food but the attitude of the cashier just put such bad taste in my mouth. I watched everyone who ordered after me getting their drinks and food and when asking if at least my simple coffee order was ready after waiting for 20 mins she sassily answered “I will make it for you” without even looking back at me. So unnecessary to have an attitude Saturday morning. Drink some coffee
Sammy's Cafe,Bagels and sandwiches are great! Egg and cheese with hashbrowns are my favorite. Their chai tea latte is very good.
Sammy's Cafe,Try the turkey avocado on Dutch crunch ... it's delicious!
Sammy's Cafe,"Lots of old world funky charm at this sandwich shop. Really nice staff puts a lot of attention into each sandwich... In our case, two fat breakfast burritos with turkey sausage and cheddar. Pretty good coffee."
Sammy's Cafe,Super tasty and great prices. Nice folks too.  Love this spot. Tucked just off Polk
Sammy's Cafe,I ordered the breakfast burrito and coffee. Portion size was perfect. Two eggs with just the right amount of cheese and bacon. Fast friendly service. Coffee was excellent.
Sammy's Cafe,Workers were nice. Nothing to recommend food-wise especially with so many better options a stones throw away on Polk. Same with the coffee. TVs make the place feel lowbrow even though they have nice interior decoration (maybe only left over from when it was Lealand Tea).
Sammy's Cafe,Friendly breakfast place with all the classics a visitor from Europe needs. Great substitute for the appalling offering of the holiday inn nearby
