0,1
Sextant Coffee Roasters,"Hard to get good coffee in SF, and this place is no exception. Don't come here if you want light roast delight. Sextant Roasters knows a good deal about coffee, but not the folks who serve the brew here. It was a challenge to get tasting notes. They only offer one medium roast as espresso… and that one turned out to be bitter… Milk alternatives are normally here - but not today. They ran out.. too bad. the backyard is nice though. Overall... Don't bother to come."
Sextant Coffee Roasters,"Solid coffee with great gluten free pastries!  I recently hosted an event and I bought a large container of coffee. Their service was super fast and they had it ready in 15 min.  They have a variety of Asian flavored desserts as well as the usually croissants and cookies. They also have a few gluten free options, I recommend the banana walnut cookie"
Sextant Coffee Roasters,Thank you so much 
Sextant Coffee Roasters,"Spacious coffee shop with your standard load out of coffee/espresso drinks. I had the drip coffee, which today was the Connoisseur blend. It was served at perfect drinking temperature (I feel like typically places will serve it hotter than drinkable).  Connoisseur - blend from columbian beans. Had sour notes+aftertaste and a bit zesty. Slightest hint of cherry. Did not taste the apple or honey cocoa as suggested in the flavor profile."
Sextant Coffee Roasters,Thank you 
Sextant Coffee Roasters,"Great quality of third-wave roaster and coffee shop directly working with farmers across Ethiopia, Kenya, and Colombia. My favorite coffee here are Americano and Cappuccino. Their pastries from local shops are really good too."
Sextant Coffee Roasters,Really good coffee and probably one of the best Kouign-amann I never tried . The only downside of this coffee place is that they don’t have outlet near the seating area
Sextant Coffee Roasters,"This coffee shop will receive my five-star rating. Everything went smoothly and without any issues. They always gave it their all and have a high level of customer satisfaction. Without a doubt, I would highly recommend this location! Thank you all so much for your generous assistance. Excellent work!"
Sextant Coffee Roasters,Thank you so much 
Sextant Coffee Roasters,Very unique roasting and tastes very good.  I believe it's because their source of the bean with onsite roast makes the coffee fresh.  They also have a back yard area for customers to sit and enjoy their coffee.  Their cold brew is a must to try.
Sextant Coffee Roasters,Thank you  very much 
Sextant Coffee Roasters,Recently moved to the neighborhood and stopped by this place after hearing good things. I can say it lives up to its good reputation. The cold brew was one of the best I’ve had in the city and Amber & Isobel were super friendly and welcoming.
Sextant Coffee Roasters,"My favorite cafe in the neighborhood, and possibly in the city as well.  Love the light-filled space and the brick walls, but I think the best part is the patio in the back.  Very friendly staff, and what tops the experience?  They give out **amazing** 🐶 treats 🐾"
Sextant Coffee Roasters,Thank you 🙏🏻
Sextant Coffee Roasters,"Despite the grey exterior, this is a relaxing spot with earthy vibes inside. Great place to sit down and do some work. Good coffee and croissant too."
Sextant Coffee Roasters,"Brilliant independent coffee roastery in San Francisco - worth the hype! I had heard good things about Sextant and it definitely lived up to expectations.  Great range of brewing methods,  delicious Ethiopian pour-over, and really helpful and knowledgeable staff."
Sextant Coffee Roasters,You are so kind. Thank you so very much 
Sextant Coffee Roasters,"One of the best coffee roasters and coffee shops in the SoMa area of SF. They have not just good coffee, but GREAT coffee here! It’s a lovely space inside and out, with a nice quiet garden area out the back with a few tables and benches. Staff are friendly and helpful. There’s a good selection of coffees and other merch, which is well designed and reasonably priced."
Sextant Coffee Roasters,"I think I might have gone on an unusually bad day based on the other reviews. We think that the machine or something was not clean or properly working. 3/4 people in our group, took one drink and threw it away….the 4th person is just to stubborn to throw away food or drink. We each had different drinks from espresso to drip, mocha and latte so we think it was fundamental with the beans going through the machine.  I ordered a mocha and I think the barista forgot to add chocolate? If that’s possible.  Anyway, we had to write a review because it was as bad as it can get. From expense to not a human taking our order to no descriptions of the items in the case, no cream or sugar stand, and they were out of brown sugar. All that being said, we would have forgotten all of that if at first sip, we were “ahhed” and satisfied. It wasn’t even drinkable….we dropped them at the first trash can and went to 711 and drove home.  The employees today did seem very nice and were helpful us with our questions and desires for brown sugar. They apologized for that.  The presentation was good, the guy poured it and it looked cool but it just tasted so terrible.  4 hungover people about to drive back to San Jose and we threw the coffee out! Do you know how bad it has to be for that to happen!?  $14 for quad shot espresso."
Sextant Coffee Roasters,I am sorry for your experience that was not what we strive for our customers. Usually people are very happy with the quality of our drinks and service.  Hopefully you can give us a second chance and we can make it happen.
Sextant Coffee Roasters,"Possibly the best espresso I have ever had.  There aren't many coffee places that I would go out of the way to visit, but this is definitely one of them.  Just amazing."
Sextant Coffee Roasters,You are so very much 
Sextant Coffee Roasters,"Very nice cafe ambiance. Very good coffee - if you like unflavored lattes, this place will not disappoint you. Good pastries. Friendly and good baristas. Music can get a little loud."
Sextant Coffee Roasters,Thank You Very Much 
Sextant Coffee Roasters,"Vertical coffee at its best. This is a Black owned business. The owner has relationships with coffee farmers in Ethiopia and roasts his beans fresh in the back. Sometimes if a particular bean isn’t available up front you can ask if they have any in the back that haven’t been bagged yet. They charge extra to use a credit card so if you buy beans pay with cash to save a buck. I love the low acidity and smoothness of The Windsor, but Maiden Voyage is great for espresso. Their website is frustrating because it says pick up in person is possible but it doesn’t always allow it, and if you want subscription there’s no way to have it be picked up rather than shipped."
Sextant Coffee Roasters,Thank you so much 
Sextant Coffee Roasters,I ordered a mocha and the barista accidently forgot the chocolate. It was super busy or the barista had a lot on their mind—all of which are valid.  I told the barista and they quickly made me one w chocolate. Ace customer service if you ask me.
Sextant Coffee Roasters,"This was always my favorite hidden SOMA gem, and after getting to know the owner Kinani, it is now my go-to spot for beans in the city as well. He's a passionate first generation Ethiopian who truly knows his stuff, if you want to geek out on 🫘.  Other pluses: big beautiful space that always smells like coffee (they roast on site,) a relatively quiet back patio (for SOMA), and my favorite perk: a free trip coffee when you buy a bag of beans ;)  Wishing Kinani all the best"
Sextant Coffee Roasters,"Very mediocre and disappointing. The coffee was fine, but nothing special for a $8 price tag (with 20% default tip) and below average service. The barista was very aloof and mildly unfriendly and so as the guy grinding coffee who seemed to be a manager. The outdoor patio is nice but the place itself is pretty small and not as vibey as it looks in the pictures. Nothing to come back to."
Sextant Coffee Roasters,"Come here and get the Wired Gandhi (dirty chai) because it is to die for! We love that this coffee shop is dog-friendly and has WiFi and tables for working. The baristas are always so friendly and sometimes give Calli treats!  We’ve tried an almond croissant, peanut butter chocolate cookie, and a blueberry scone (my favorite of the three being the scone) and they were all ok but nothing to write home about.  Will definitely be coming back here again and again!! Highly recommend"
Sextant Coffee Roasters,"Super cute cafe, friendly staff and good cappuccino. Although it's not my ultimate favourite coffee in SF it's pretty good. (Everyone has different tastes so it's never comparing apples to apples) Coffee well made and milk was steamed well for a cappuccino."
Sextant Coffee Roasters,Thank you 😊
Sextant Coffee Roasters,"Amazing, light-soaked interior - brick walls and wooden ceiling. You sit next to the roasting machine. Very friendly staff. Delicious coffee. An inspiring founder story (see their website).  Ample space to sit and strong wifi, so this feels like a good place to get some work done. Note that there are no power outlets though.  For breakfast, they have some pastries but not otherwise much food selection."
Sextant Coffee Roasters,Thank you 🙏🏻
Sextant Coffee Roasters,"The most expensive pour over i have ever had. It was yirgacheffe and ok. It didn't blew my mind. It had to for a $10+ coffee with tip. Nice open area, great to work/study/chat."
Sextant Coffee Roasters,Thanks 
