0,1
Sightglass Coffee,"Indie local coffee shop with a variety of coffees and teas, plus a reasonable selection of baked goods. Has a sleek and welcoming ambience with lots of interior seating, including wooden booths. I love the cool record collection behind the counter. Inclusive space for all genders."
Sightglass Coffee,Sightglass is my go-to coffee brand in SF☕️ They make and serve the best quality of coffee. Sightglass at Divisadero st. is kind of small space compared with its headquarter in SoMa.
Sightglass Coffee,Beautiful space and good coffee. Kinda over priced coffee in my opinion (like it’s good but still just taste like coffee) and very disappointing they don’t have Wi-Fi!
Sightglass Coffee,"Good coffee & nice people. I recommend it. 👌  It is in San Franciso. Off of Page & busy Divisadero street; so it's best to walk, ride your bike, take the bus or ect. Parking can be tight at times, like most places in the city."
Sightglass Coffee,"Sightglass is one of my absolute favorite coffee roasters. Easily one of the best coffee shops in San Francisco, and arguably beyond that. Your caffeine intake doesn’t need to be perfunctory. You can enjoy it too. Go ahead, you deserve it probably."
Sightglass Coffee,"Ordered a cappuccino, aroma was on the citrusy side. I like the high ceilings and the large tables. Chairs not comfy though. Also the staff were not as friendly compared to other roasters in the city."
Sightglass Coffee,"Drinks are decent. Pretty balanced, not too strong. Food is small fare, and a bit fancy and expensive for what it is but ok. Puzzles me a bit why startup and VC types like it here (and the main location). Music can be a bit loud and distracting and there's no wifi. Plus, the table are a bit quirky and very inefficiently laid out. I guess it forces unintended interactions which some people look for. Not sure. Anyway it is what it is."
Sightglass Coffee,"Love the coffee and the interior of this place. They also have good chocolate chip cookies! Recommended if you need a place for a causal meet up or work space. Not too much room, but if you get a seat it’s great. Trade off is that it’s expensive."
Sightglass Coffee,"Ordered the ""Coffee of the Day"" and a Mocha. The coffee of the day was good.. $4 for a black coffee is a little pricey. The mocha I wasn't a fan of - it was a bit oily and lacked a good chocolate flavor. Also, parking was a little challenging to find, so if you're not from the neighborhood be mindful of this. Overall, decent option, but not my favorite."
Sightglass Coffee,"Excellent coffee and pastries. I also love their cascara shrub soda. Great atmosphere to chill and read, it can get busy in the mornings but is never as frenetic as other coffee shops. Their toilets are always clean and they play great music too!"
Sightglass Coffee,"We stumbled here because of a disappointing visit to Wholesome Bakery.  But good that we did...  Great music, cool customer service, nice environment and lots of delicious options. I recommend the vegan spiced chocolate donut.  Oh and damn good coffee...  Way to go!"
Sightglass Coffee,"Very nice staff and a really nice find on the edge of the panhandle.  The coffee machines look like Lamborghinis with a cool lightning type sign.    They didn't rush us and the coffee was good although little acidic (I had Ethiopian special brew). But the lead staff was really nice and gave me her special agave because I couldn't find any honey for the coffee to balance the acidity.  Would definitely come again.  Good place to work, relax, or read."
Sightglass Coffee,"Slow service and mediocre coffee. I got myself a macchiato, and it was alright but I’d never order it again from this place. Pastries look fantastic though"
Sightglass Coffee,"Great new Sightglass location! The interior is very well done and the drinks are very high quality. It does get crowded at times, finding a place to sit might be a bit difficult. Still, this place is great!"
Sightglass Coffee,"Double espresso tasted extremely sour. Some people like it like that, I would appreciate being able to choose the beans. Carbonated water that comes with espresso extremely chlorinated - undrinkable. As I wanted to inquire about the coffee beans, was brushed aside. Giving this one a miss from now on."
Sightglass Coffee,One of the better coffee places in town. I like their lattes and they serve in ceramic if you stay.
Sightglass Coffee,"latte ($6.50) tasted fine, seats were uncomfortable, no wifi or plugs for laptops, packed on Sundays. Not sure how these places get good ratings"
Sightglass Coffee,"After a year of patiently waiting, finally this location has opened, and it's as amazing as you'd expect. Sightglass has created an excellent brand and has created some of the best coffee shops in SF."
Sightglass Coffee,One star for the atmosphere. The servers are apathetic and dressed like grunge models. The coffee is truly awful and very expensive.
Sightglass Coffee,My boyfriend and I both got iced lattes and they were really delicious! Great customer service and nice ambiance too.
Sightglass Coffee,To be honest the espresso was bad maybe they didn’t calibrate it very well at that time and it was over roasted coffee as well ( medium-dark ) roast. Only good thing the pour over coffee ( Kenyan ) the pastries are really good.
Sightglass Coffee,This is a great environment to hang out in. The ambiance is great the staff is friendly and there is a decent amount of seating here. I'm not a coffee drinker but my friend said the coffee is great. I had the hot chocolate and all I can say is get the coffee haha.
Sightglass Coffee,Great coffee! Ok and a bit slow service. Still worth a visit.
Sightglass Coffee,Popular coffee shop Love their interdeco
Sightglass Coffee,"It's overpriced in my opinion, but they did a great job with the layout and decor. They also gave baked goods from a couple of local bakeries that compliment their coffee nicely. Bring a newspaper or some friends when you come."
Sightglass Coffee,"Nowhere near the consistency, quality, and care that once was and we've been coming to Sightglass for 5 years and this location since it opened. So far the issues seem particular to the Divisidaro location, but over the last 2-3 months, there has been a significant drop in attention to detail here. Every component of their expensive cappuccino has been worse than nearby Ritual and others."
Sightglass Coffee,"One of most famous coffee brand in San Francisco, and more branches now. The whole space deco is chic, and coffee is fine."
Sightglass Coffee,There are two lines. One that runs along divisadero to order and one that wraps around the corner to wait for your order to be ready. Pastries are fresh and espresso is good
