0,1
Starbucks,"Hidden little Starbucks in the financial district - much less crowded than the one on the corner of Battery and Clay. Service is fast, store was clean and basically empty. No waiting for drinks and food and no crowd. Definitely a good place sto stop on the way to work."
Starbucks,Hello! Thanks for taking the time to share this review. We appreciate you and look forward to having you back!
Starbucks,There isn't any tables inside just 1 booth and I guess it's a bay window. But you can't use the bathroom unless you buy something (alot of the restaurant and shops are like that). Otherwise the food and drinks aren't bad.
Starbucks,"Hello! We're grateful that you shared this experience with us. If you're interested, please get in touch through our Contact Us page (https://sbux.co/3uW8Bbs) to share any additional feedback. Thank you!"
Starbucks,"Had a coffee this morning and witnessed a rare scene of a team working together in friendly and supportive atmosphere. Special thanks to initiative girl that helped me on 14th, in the morning, when I lost my place in line."
Starbucks,Hello! Thanks for taking the time to share this review. We appreciate you and look forward to having you back!
Starbucks,It was warmer outside than inside. I wanted somewhere to sit have some water and finish some personal business but it was freezing inside :(
Starbucks,"Hello! We're grateful that you shared this experience with us. If you're interested, please get in touch through our Contact Us page (https://sbux.co/3uW8Bbs) to share any additional feedback. Thank you!"
Starbucks,"Please bring back sitting places, it’s so bad that in CA it’s so hard to find Starbucks where you can sit and work 😥 in NJ everywhere they have it! Covid time is done… …"
Starbucks,"Instant 1 star for laziness / knowingly making the wrong drink. The label said decaf but the batista served me regular anyway. I cannot have caffeine due to a heart defect...  I let the batista know and she apologized and switched it for me, but that's not the kind of thing they can ignore. I also asked for vanilla at the front and the cashier did not mark that correctly. Starbucks already charges too much, they should at least make the right drink."
Starbucks,"I was a regular customer at this Starbuck's.  I spent on average $40 a week there.  I always got a Venti coffee with two raw sugar and extra cream.  This morning (05OCT22) in the 6 AM hour, I ordered my coffee and a sausage cheddar breakfast sandwich.  There were 4 people behind the counter and not many in the shop.  I had to leave after waiting 11 minutes and I did not get my order.  I have to get to my job and don't have a long time to wait.  This is a poor way to treat a regular customer.  I will not return there again."
Starbucks,"Hello, I'm sorry to hear about this but appreciate you for sharing your experience. If you'd like additional assistance from our team, please get in touch through our Contact Us page (https://sbux.co/3uW8Bbs)!"
Starbucks,"The place is well maintained, service is friendly. Toilets are slightly dirtier."
Starbucks,"On Saturday afternoon, you can find a chair to sit. The store is clean; the complimentary Wi-Fi is fast. It's probably different if coming during the week."
Starbucks,"My morning go to coffee spot near Transamerica. You'd think they would staff more than 2 or sometimes even 1 person in a location like this! Sometimes I get a really good on the ball barrista that can run alone, sometimes there are 3 stooges there that cannot get it together. Needs management, to regulate quality control. Good products, enjoy the Machiatto Caramel and egg bites on the go often here."
Starbucks,The workers on Wednesday morning at 10 am were really rude!
Starbucks,"Hello, I'm sorry to hear about this but appreciate you for sharing your experience. If you'd like additional assistance from our team, please get in touch through our Contact Us page (https://sbux.co/3uW8Bbs)!"
Starbucks,Ordered a ice coffee didn't receive a 100 rewards.
Starbucks,Hi there! Thanks so much for leaving this review. I encourage you to share this feedback with the Starbucks Care team through our Contact Us page (https://sbux.co/3uW8Bbs) - we're always looking for ways to improve!
Starbucks,Ordered drinks from here on Uber eats yesterday. I received a wrong order of a drink I could not have. Typically there’s an option on Uber eats to review receipt and receive a refund but there was not that option with this particular location. I was unable to report to Uber that I received a wrong item. Just know that if you order a drink off a third party delivery service that you may get the wrong item and be unable to get a refund. Does not make me want to order from this location again. Not sure if all Starbucks don’t allow reporting of incorrect items or receiving refunds.
Starbucks,"Starbucks use to be a place where I could enjoy a decent cup of coffee. But since the pandemic the staff like at some locations tend to do business for themselves, I ordered an expresso drink , paid for of course and received all the garnishment with no expresso"
