0,1
Telescope Coffee,small takeout only cafe tucked in soma. the honeycomb latte was perfect and not too sweet! would also highly recommend the banana cream pie.
Telescope Coffee,Amazing coffee and hands down the best baked pastries I’ve had in SF. Highly recommend this place!  I also get the rosemary tomato focaccia every time I come and it’s always fresh and delicious. Service was quick and everyone is super friendly too.
Telescope Coffee,"We absolutely love the honeycomb latte and the rose latte!  The honeycomb gradually melts into the coffee making a lightly sweet drink (I loved it even though I usually don’t prefer sweet coffees). The rose latte is definitely sweeter of the two but we appreciated how strong the rose flavor was.  We have also tried the banana bread here which was pretty solid (especially when heated up) but was very expensive for the size so probably wouldn’t get it again. Also there isn’t much seating other than an outdoor bench so expect to take your coffee to-go!  Overall, love the coffee here and will definitely be coming back!!"
Telescope Coffee,"Nice coffee-based drinks, and decent coffee. I tried the lemon thyme latte with oat milk, and it was really good. I also tried their standard macchiato. It was good, though certainly not the best that I’ve tried in the city. It does seem like they are better known for their specialty drinks (the honeycomb latte is their most popular)."
Telescope Coffee,"A quaint gem of a coffee shop!  The co-owner is also the pastry chef - born & raised in SF - she is whipping up delicious sweet and savory treats with wheat free and vegan options!  The strawberry milk is super yummy and cute as it is served in a reusable strawberry cup - pencil holder, plant propagation vessel, water glass - yours to decide!   The chai mixture is made in house and hits the right balance of sweet and spicy.  Very friendly staff and a wonderful new addition to the neighborhood!"
Telescope Coffee,"Wow, the honeycomb latte has actual chunks of honeycomb tossed in that slowly melt as you drink it!  So delicious!!  I also tried the rosemary tomato focaccia and the peach cream puff.  Everything was *incredibly* fresh and delicious, including the seasonal fresh peach on top of the puff!  Service was quick and friendly too.  Great place to grab and go, with easy street parking outside.  I did not try their Vietnamese coffee yet but I’m very curious..."
Telescope Coffee,"Nice young, chipper staff. Small batch baked goods. I ordered a cappuccino. Clearly should have ordered a honeycomb latte. Support small cafés!"
Telescope Coffee,"I dropped by one day while waiting for SOMArts to open up since it's really close by. The reviews are insanely good so I had really high hopes! One thing I hadn't anticipated when we arrived was how small the cafe is, with no seating. I was a little letdown by that because we thought we could have a seat and enjoy the sunny day. The cafe is very cute but it's in a really random location without much around it. We ended up walking over to Trader Joe's close by while we finished our drinks.  My friend and I got two drinks: the honeycomb latte, hot and the London fog, iced. The coolest thing about the hot drinks were that they came in a cup that had a logo on it that appeared when the cup was hot! Temperature sensitive cups are cooler than I thought they would be. My friend said the honeycomb latte was pretty good and not crazy sweet. The London fog was made with a syrup which was a little sad as I hoped they would make it from a tea bag. It was still good though, and I liked that they offered an iced version.  The service was friendly and efficient. I'm not sure I would go back again unless I'm in the area and hunting for something to drink."
Telescope Coffee,"This place is amazing. The tomato focaccia was a moment this morning for where all my pastry dreams came true. If you want craft anything, please just COME. It is a great idea."
Telescope Coffee,The banana cream puff is amazing. The cream was light with just the right amount of sweetness and the banana filling was very fragrant. Like a banana cream pie in puff pastry form.  Will definitely be coming back to try the other pastries and drinks.
Telescope Coffee,Picked up some coffee from telescope because all my friends were ragging about it. I was so excited I picked some up before work and I was not disappointed- we got the rose latte and iced vanilla latte. It was so good. Next time I need to make sure I get a hold of those pastries they looked amazing
Telescope Coffee,"Small cozy artistic coffee shop.  Pastries are good.  The coffee taste is toward to acidic, like Blue Mountain or Kona, but smooth."
Telescope Coffee,Owner is an SF native who makes all the pastries in house.  And coffee is all by comsic dust and curated specifically for Telescope.  Highly highly recommend!!
Telescope Coffee,"I rarely write reviews but I couldn't not after my first visit to this new spot! It's clear how much time and effort Jenny has put into this place,  both in terms of aesthetics of the cafe and the menu! Their pastries are amazing and I couldn't not get their fresh strawberry milk with matcha served in a literal strawberry cup. I can't wait to go back. Highly recommend!"
Telescope Coffee,Tried both iced mocha and hot mocha and by far one of the best I have had so far in SF! Cinnamon roll is also special! Not your usual cinnamon roll
Telescope Coffee,"Some of the best foam I've ever had plus all desserts are made in house. Can't wait til June, when the strawberry milk returns :)))))"
Telescope Coffee,"Pleasant Saturday morning visit. They have a bench out front where we sat for close to an hour. My friends drank coffee, I had tea and all were good."
Telescope Coffee,The pastries and the London Fog tea are so good! Home made pastries! Great addition to the neighborhood!
Telescope Coffee,"Small local shop with very unique, extremely delicious drinks. The two times I’ve been there I tried something I never saw anywhere else (honeycomb latte and strawberry milk), and both times I loved it. Super recommend it."
Telescope Coffee,"Cute + cozy small coffee shop. Tried the lemon + thyme syrup in an iced oat latte, was subtle and not too overpowering. Perfect morning bevvie. Nice baristas too."
Telescope Coffee,"Got less sweet rose latte, it's not my type of drink."
Telescope Coffee,"This place is the best coffee shop in the bay area, we've been to plenty and this is best, so much so that we buy their beans and make coffee at home. I don't even drink coffee but it's growing on me, I buy the beans and coffees for my partner, she's a coffee maniac, every coffee we've tried has been delicious and consistent. Highly recommend this place. Folks working there are very kind and helpful, owner is fantastic."
Telescope Coffee,"Really delicious and thoughtfully flavorful lattes and drinks! Their Vietnamese iced coffee is less sweet than the classic, and they offer non-dairy condensed milk options, which is amazing. I usually make my own coffee at home, but love coming here for a drink to treat myself.  My favorite is the honey comb latte, but can’t go wrong. All their pastries are amazing as well"
Telescope Coffee,"Adorable place, friendly staff, and good drinks. The lemon thyme latte was way too sweet for my taste, but I'd go back to ask them to sweeten more lightly or try something else. Glad there's something else in this neighborhood!"
Telescope Coffee,"Their Vietnamese iced coffee is just perfect for those hot SOMA days. The shop is also run by the loveliest women, one of them is a pastry chef who bakes everything onsite!"
Telescope Coffee,"I use to come here all the time, their baked goods and drinks were good. But for some unexplained reason I started getting the cold shoulder from the owner who also works there regularly… I stopped going from then on. I enjoy supporting small businesses even if they are a lil pricey. But I can’t see myself going back anymore due to some real awkwardness and tension when I come in for a drink or baked goods. Truly unfortunate since they are so close to my house and I love their focaccias"
Telescope Coffee,"I only recently realized this was my local coffee shop, and you know what it’s a damn good local coffee shop. The honeycomb latte is actually a p smart drink that changes sweetness as time goes on (which makes it taste better relative to the last sip). It also uses light-medium roast Vietnamese coffee which is pretty similar to an Ethiopian, but with less tartness which works to create a really balanced drink. You can also get a pretty fun picture of it if you want as many others have.  I also got a cheddar and jalapeño biscuit. It was pretty good, and had that nice airy texture. The service was also great.  The only major downside is there’s no seating, hopefully they can move into a bigger location at some point.  The place is also def overpriced, so I probably won’t go again solo, but if I have a friend visiting who wants coffee, it’s a great stop."
