0,1
Unexpected Era Café,"There's excellent service in this clean, pleasant cafe with great drinks and a small assortment of foods.  I asked about pastries and the person behind the counter recommended the raspberry turnovers. I also ordered a hot chocolate and dined-in. Three minutes after paying $9.89, I got my turnover and hot chocolate.  The hot chocolate was chocolatey, not over-sweetened, and creamy. The lady told me that it might not be sweet enough and she could sweeten it more if I liked, but it turned out to be perfect. The raspberry turnover was cold in the center and the pastry wasn't flaky. The worker asked how everything was and I asked if she could heat up the turnover a bit more. She offered to give me another one, but I insisted on heating up the one I'd already taken a bite out of. A minute later, the pastry was pretty good.  If you're in the area and you'd like a great hot chocolate or an espresso drink this is a pleasant place to visit. I appreciated the pleasant service and I'll return for a hot chocolate if I'm nearby in the future."
Unexpected Era Café,"If you're looking for a place to chill while waiting for a friend or an event, but you don't want to deal with Starbucks on market street.  Unexpected Era Cafe is a welcomed replacement w/ High top seats to give your feet a rest.  It's a downhill walk from Saigon Sandwich on the way to the subway so it's definitely a convenient location, and It's clean here.  College student level pricing as well."
Unexpected Era Café,"Stopped in with some friends to grab a quick coffee while visiting SF. Super cute little takeout spot with great basics, but be sure to check out their extended menu for some fun options. Tried the cold brew and the mocha, both delicious. Best part was the barista - he was so friendly and we had a nice chat while he made our drinks. Great spot!"
Unexpected Era Café,Thank you for stopping by and we are happy to hear you had a great experience and enjoyed the drinks!
Unexpected Era Café,"I make my way to come out to this little coffee shop on Polk. The owner truly cares about coffee and you can tell, the coffee rivals that of other third wave coffee pleases and it’s nice to find a truly independent owned shop with a great owner you can chat to about it all. Stop by if you get the chance!"
Unexpected Era Café,First ever review of any place. I loved the coffee and the pastries. I will be coming back as soon as possible. If you don’t try them out… you are missing out.
Unexpected Era Café,This place has great vibes. The guy behind the bar was super chill and makes you feel taken care of. The cinnamon mocha was the best drink I’ve had in a while... definitely a new regular spot for me.
Unexpected Era Café,Can't go wrong with the cinnamon mocha! Iced or hot always a smooth drink
Unexpected Era Café,"Good coffee, very chilled and friendly fellas serving, reasonable pricing. I don't live here but if I did this would be where I'd get my coffee from"
Unexpected Era Café,Great Coffee and great staff who work there. We had a Latte and ordered the savory bagel which was delicious.
Unexpected Era Café,"Great lil coffee shop.. got a dirty iced chai, and a Jenny’s wild berry smoothie.. very good, I would so come back next time I’m in the Bay Area.. gotta check this place out"
Unexpected Era Café,"Hey Nic, thank you for your kind words! We are happy to hear you enjoyed your drinks! ☕️"
Unexpected Era Café,This cute cafe has such a welcoming vibe and amazing coffee! The pastries are a delicious pairing and the baristas are so friendly. Parking is surprisingly easy to find nearby so it’s worth the trip to start your morning on a high note. Be sure to check the art while your coffee is prepared with care!
Unexpected Era Café,🙌
Unexpected Era Café,"It's an excellent café, good attention to detail. Great customer service! The best coffee in SF!"
Unexpected Era Café,"This place is amazing, great coffee, tasty pastry and other breakfast foods ! Excellent! Looking forward to next chance to visit !"
Unexpected Era Café,"If you live in the neighborhood or are visiting from out of town highly recommend coming here for delicious high quality 3rd wave coffee. I got a cappuccino with whole milk and it was the perfect balance of espresso and milk, frothed to perfection. Leo was extremely friendly and is a very experienced  barista! My new local spot."
Unexpected Era Café,"This place is a gem and so is the owner. Warm and friendly vibes, exceptional coffee."
Unexpected Era Café,Trying out this place for the first time. Looking forward to my ham modified sandwich. I’m Hella hungry and pina colada.
Unexpected Era Café,Hey Jray! Thank you for stopping by and we are glad you enjoyed the food items you ordered! 🥪
Unexpected Era Café,"Lovely little shop. Good coffee, good bagel sandwich. I was in the city for a job interview and was lost and the two ladies working  helped me with directions. Super nice and sweet."
Unexpected Era Café,Thank you for coming by! Happy to hear the team was able to help you! 👍
Unexpected Era Café,"Came across this spot the other day and I was extremely surprise on how great it is! Great customer service, merch, pastries, and most of all, great coffee!  I had ordered a cold brew and it was extremely smooth and got me through the whole day!  Highly recommend trying this place out and getting their cold brew if you need to curb your caffeine dependency fix!  Go support your small local businesses now!"
Unexpected Era Café,"Hey Kevin, thank you for stopping by!"
Unexpected Era Café,"Great little family-owned coffee shop! The owner is really knowledgeable about coffee and teas! I shared I had to give up drinking coffee due to health stuff and the owner helped walk me through some non-coffee drink options. I had never tried a matcha before but decided to try one and glad I did! If you’re in the area, definitely check this spot out - you won’t be disappointed!"
Unexpected Era Café,🙌
Unexpected Era Café,found this cafe after eating lunch in the area and it was a great find!! great coffee and the staff was really kind
Unexpected Era Café,Thank you for checking us out!
Unexpected Era Café,"Really great coffee, the owner Leo is super nice. Definitely worth a stop if you’re in the area"
Unexpected Era Café,"Hey Niel, thank you for stopping by! Glad you enjoyed the coffee”"
Unexpected Era Café,Amazing coffee and vibes!! Congrats on one year ☺️☺️
Unexpected Era Café,Thank you for stopping by!
Unexpected Era Café,Leo makes the best cup of coffee!!
Unexpected Era Café,"Great cafe with awesome people. Good coffee, sandwiches, smoothies, pastries. All the goodies. Really cool humble owner. Solid location on Polk. What more could you ask for?"
Unexpected Era Café,💯
Unexpected Era Café,"Shows open on Google Maps, but ended up being closed in reality"
Unexpected Era Café,"My wife and I had great coffee here! The owner and barista is so passionate about coffee, it’s lovely 🥰🥰🥰🙏🙏🙏"
Unexpected Era Café,I’m glad you guys enjoyed the coffee as well as the customer service. Thank you for stopping by!
Unexpected Era Café,Great shots…bright and delicious…super reasonable price. Barista solid friendly.
Unexpected Era Café,Super friendly staff and great little place to take a coffee break.
Unexpected Era Café,Hi Drew! We are happy you hear you enjoyed the coffee. We are always striving to provide the best coffee and service”
Unexpected Era Café,Great service and delivery coffee
Unexpected Era Café,"Hey Boris, we are happy to hear you enjoyed the coffee. Thank you for coming in! ☕️"
Unexpected Era Café,"the folks that work here are absolute gems, very kind people and stellar smoothies."
Unexpected Era Café,Thank you for stopping by!
Unexpected Era Café,Fine if you don't really care about how the coffee tastes.
Unexpected Era Café,"Yummy food, great coffee, and great service!"
Unexpected Era Café,Thank you for your visit!
Unexpected Era Café,Loved the cappuccino!!
Unexpected Era Café,Super cute place with great coffee and bagels
Unexpected Era Café,Thank you stopping by! We are happy to hear you enjoyed the drinks and food items you ordered!
Unexpected Era Café,Coffee was okay
Unexpected Era Café,Great coffee
Unexpected Era Café,🙌
Unexpected Era Café,"Great place!! All of very good quality, the young people who served us are very friendly. They make you feel confident. Blessings ☺️"
Unexpected Era Café,"Hi Veronica, thank you we appreciate your comment!"
