0,1
Wrecking Ball Coffee Roasters,"This place is a solid coffee shop, but rather small. There are no tables to sit down so you are forced to just buy your coffee and leave the shop. I was a little intimidated by the servers as 3 of them are standing in front of the register waiting for my order. I enjoyed the coffee and the quick service though."
Wrecking Ball Coffee Roasters,Hours shown are incorrect. Showed up on Saturday at 3:30 and they were closed. Very good looking place from what I could see from the window.
Wrecking Ball Coffee Roasters,If you're looking for a great cup of coffee not a place to hang out this is the place to go. There's limited seating and this extremely well stuffed small coffee shop. Excellent espresso drinks as well as pour overs. And it looks like they're adding machka tea lattes to their menu. They only have a few baked goods but from what I sampled they're all very tasty.
Wrecking Ball Coffee Roasters,In a city full of artisan coffee shops-wrecking ball is my favorite.Expect perfectly roasted and brewed coffee. 👎no heavy cream option 🌺great coffee spot! …
Wrecking Ball Coffee Roasters,Today 01/16 I went to Wrecking  ball at Union St for my regular hot chocolate. As I walked outside the store I had my first sip and it was salty. Very strange. Then another sip and it did taste funny and still salty. I threw away. On my way back and went to the store to let them know about it and the only answer that I got was “thank for let us know”. I didn’t even get an offer for another one or a refund. So this will be my last time visiting this store for sure.
Wrecking Ball Coffee Roasters,"Wrecking Ball Coffee Roasters, located on Union Street in San Francisco, was supposed to be a fantastic coffee shop - people told me they had the best coffee, believe me. But when I visited six months ago, it was a total disaster, folks, a complete mess.  First of all, they ran out of pastries way too early, just sad. I mean, who does that? You're supposed to be a top-notch coffee place, and you can't even keep enough pastries stocked? A good business knows how to satisfy its customers, and let me tell you, folks, I know good businesses. I've built many great businesses, some of the best in the world.  To make matters worse, they gave my latte to another customer. Can you believe it? I ordered this fantastic latte, I was excited, and they just gave it away! It's like they don't even care about their customers. If I were running the place, that would never happen. I know how to treat people right.  And let's talk about the service. It was slow and unfriendly, just terrible. I've had some of the best service in the world at my hotels and resorts, and this place doesn't even come close. The staff seemed like they didn't want to be there, and it made the whole experience very unpleasant. If you want a successful coffee shop, you've got to have great service, and Wrecking Ball Coffee Roasters just doesn't cut it.  In conclusion, folks, I can't recommend this place. With the lack of pastries, the mix-up with my latte, and the terrible service, it was a huge disappointment. There are so many other fantastic coffee shops in San Francisco, and this one just doesn't measure up. I've always said, you've got to be the best, and Wrecking Ball Coffee Roasters is definitely not the best."
Wrecking Ball Coffee Roasters,No mask no service No wait  Cashless payment but not contactless.  Coffee was very dark and smooth with a tad acidity but I found it just right. The staff work masks and were nice.  I would visit again if I was around the neighborhood.
Wrecking Ball Coffee Roasters,"From the moment I stepped inside, I was overcome with the feeling that this place was attempting to put on a show.  I got the impression that the staff felt like it was their job to teach me. Just what I never quite got. Odd because I travel more than most and visit countless coffee shops and never got that feeling before. Still, the Coffee was good."
Wrecking Ball Coffee Roasters,Good specialty coffee. It’s a cute place with friendly staff but a bit pricey. We paid 11$ for an oat cappuccino and cortado.
Wrecking Ball Coffee Roasters,Small and cute location. The coffee tasted great but the prices are quite high.
Wrecking Ball Coffee Roasters,Delicious coffee. Unwelcoming staff on our visit. And drink orders came up with minimal guidance and ended up with people taking wrong ones.
Wrecking Ball Coffee Roasters,"It was disappointing.  From the photos, you believe you're going to have a good coffee, but the reality is that the barista doesn't know what he's doing.  I ordered a cappuccino that was so hot that the coffee tastes burnt, I can't hold the cup for more than a few minutes and I burned my tongue trying to drink the coffee.  Another point was arriving around 10am and not having food options."
